action,clientASNDescription,clientAsn,clientCountryName,clientIP,clientRequestHTTPHost,clientRequestHTTPMethodName,clientRequestHTTPProtocol,clientRequestPath,clientRequestQuery,datetime,metadata,rayName,ruleId,rulesetId,sampleInterval,source,userAgent
block,GIGAINFRA Softbank BB Corp.,17676,JP,2400:2413:e1a1:4500:60d3:c964:fc51:b58f,www.pfizer-covid19-vaccine.jp,GET,HTTP/1.1,/%E7%99%BD%E8%89%B2%E3%81%AE%E6%B5%AE%E9%81%8A%E7%89%A9%E3%81%B8%E3%81%AE%E5%AF%BE%E5%87%A6%E3%81%A8%E3%82%B3%E3%82%A2%E3%83%AA%E3%83%B3%E3%82%B0%E3%81%AE%E9%98%B2%E6%AD%A2.pdf,,2022-04-29T16:27:10Z,[],7039674f8aad8a6c,7fc8bc7749f8466f8fc5245e0afbf003,,1,ratelimit,Dalvik/2.1.0 (Linux; U; Android 9; 605SH Build/S2014)
block,GIGAINFRA Softbank BB Corp.,17676,JP,2400:2413:e1a1:4500:60d3:c964:fc51:b58f,www.pfizer-covid19-vaccine.jp,GET,HTTP/1.1,/%E3%82%B3%E3%83%9F%E3%83%8A%E3%83%86%E3%82%A3%E3%82%92%E6%8E%A5%E7%A8%AE%E3%81%95%E3%82%8C%E3%82%8B%E6%96%B9%E3%81%A8%E3%81%9D%E3%81%AE%E3%81%94%E5%AE%B6%E6%97%8F%E3%81%B8.pdf,,2022-04-29T16:27:10Z,[],7039674fc9753499,7fc8bc7749f8466f8fc5245e0afbf003,,1,ratelimit,Dalvik/2.1.0 (Linux; U; Android 9; 605SH Build/S2014)
block,GIGAINFRA Softbank BB Corp.,17676,JP,2400:2413:e1a1:4500:60d3:c964:fc51:b58f,www.pfizer-covid19-vaccine.jp,GET,HTTP/1.1,/%E3%83%AF%E3%82%AF%E3%83%81%E3%83%B3%E3%81%AE%E5%8F%96%E3%82%8A%E6%89%B1%E3%81%84_%E8%A7%A3%E5%87%8D.pdf,,2022-04-29T16:27:10Z,[],7039674fcb181f27,7fc8bc7749f8466f8fc5245e0afbf003,,1,ratelimit,Dalvik/2.1.0 (Linux; U; Android 9; 605SH Build/S2014)
block,GIGAINFRA Softbank BB Corp.,17676,JP,2400:2413:e1a1:4500:60d3:c964:fc51:b58f,www.pfizer-covid19-vaccine.jp,GET,HTTP/1.1,/%E8%8B%B1%E8%AA%9E%E6%97%A5%E6%9C%AC%E8%AA%9E%E3%83%A9%E3%83%99%E3%83%AB%E8%AA%AD%E6%9B%BF%E8%A1%A8_%E3%83%90%E3%82%A4%E3%82%A2%E3%83%AB%E7%AE%B1.pdf,,2022-04-29T16:27:10Z,[],703967503e978084,7fc8bc7749f8466f8fc5245e0afbf003,,1,ratelimit,Dalvik/2.1.0 (Linux; U; Android 9; 605SH Build/S2014)
block,GIGAINFRA Softbank BB Corp.,17676,JP,2400:2413:e1a1:4500:60d3:c964:fc51:b58f,www.pfizer-covid19-vaccine.jp,GET,HTTP/1.1,/COVID-19%20Vaccine%20COMIRNATY%20-Information%20for%20persons%20receiving%20the%20vaccine%20and%20their%20families-.pdf,,2022-04-29T16:27:10Z,[],70396750687f80bf,7fc8bc7749f8466f8fc5245e0afbf003,,1,ratelimit,Dalvik/2.1.0 (Linux; U; Android 9; 605SH Build/S2014)
block,GIGAINFRA Softbank BB Corp.,17676,JP,2400:2413:e1a1:4500:60d3:c964:fc51:b58f,www.pfizer-covid19-vaccine.jp,GET,HTTP/1.1,/COVID-19%20Vaccine%20COMIRNATY%20-Information%20for%20persons%20receiving%20the%20vaccine%20and%20their%20families-Chinese_Simplified.pdf,,2022-04-29T16:27:10Z,[],70396750bb46f8fb,7fc8bc7749f8466f8fc5245e0afbf003,,1,ratelimit,Dalvik/2.1.0 (Linux; U; Android 9; 605SH Build/S2014)
block,GIGAINFRA Softbank BB Corp.,17676,JP,2400:2413:e1a1:4500:60d3:c964:fc51:b58f,www.pfizer-covid19-vaccine.jp,GET,HTTP/1.1,/COVID-19%20Vaccine%20COMIRNATY%20-Information%20for%20persons%20receiving%20the%20vaccine%20and%20their%20families-Chinese_Traditional.pdf,,2022-04-29T16:27:10Z,[],7039675139ea1f17,7fc8bc7749f8466f8fc5245e0afbf003,,1,ratelimit,Dalvik/2.1.0 (Linux; U; Android 9; 605SH Build/S2014)
block,GIGAINFRA Softbank BB Corp.,17676,JP,2400:2413:e1a1:4500:60d3:c964:fc51:b58f,www.pfizer-covid19-vaccine.jp,GET,HTTP/1.1,/COVID-19%20Vaccine%20COMIRNATY%20-Information%20for%20persons%20receiving%20the%20vaccine%20and%20their%20families-Indonesian.pdf,,2022-04-29T16:27:10Z,[],703967517d9834f3,7fc8bc7749f8466f8fc5245e0afbf003,,1,ratelimit,Dalvik/2.1.0 (Linux; U; Android 9; 605SH Build/S2014)
block,GIGAINFRA Softbank BB Corp.,17676,JP,2400:2413:e1a1:4500:60d3:c964:fc51:b58f,www.pfizer-covid19-vaccine.jp,GET,HTTP/1.1,/COVID-19%20Vaccine%20COMIRNATY%20-Information%20for%20persons%20receiving%20the%20vaccine%20and%20their%20families-Korean.pdf,,2022-04-29T16:27:11Z,[],70396751e9c680ed,7fc8bc7749f8466f8fc5245e0afbf003,,1,ratelimit,Dalvik/2.1.0 (Linux; U; Android 9; 605SH Build/S2014)
block,GIGAINFRA Softbank BB Corp.,17676,JP,2400:2413:e1a1:4500:60d3:c964:fc51:b58f,www.pfizer-covid19-vaccine.jp,GET,HTTP/1.1,/COVID-19%20Vaccine%20COMIRNATY%20-Information%20for%20persons%20receiving%20the%20vaccine%20and%20their%20families-Nepali.pdf,,2022-04-29T16:27:11Z,[],70396752ee4a8a66,7fc8bc7749f8466f8fc5245e0afbf003,,1,ratelimit,Dalvik/2.1.0 (Linux; U; Android 9; 605SH Build/S2014)
