action,clientASNDescription,clientAsn,clientCountryName,clientIP,clientRequestHTTPHost,clientRequestHTTPMethodName,clientRequestHTTPProtocol,clientRequestPath,clientRequestQuery,datetime,metadata,rayName,ruleId,rulesetId,sampleInterval,source,userAgent
block,ROOTLAYERNET,51447,NL,185.222.57.162,www.pfizer-covid19-vaccinated.jp,GET,HTTP/1.1,/.env,,2022-04-29T16:59:00Z,"[{'key': 'group', 'value': 'cloudflare_specials'}, {'key': 'rule_message', 'value': 'Version Control - Information Disclosure'}]",703995f10874c83f,100016,,1,waf,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:77.0) Gecko/20100101 Firefox/77.0
block,SAKURA-A SAKURA Internet Inc.,7684,JP,133.242.245.148,www.pfizer-covid19-vaccinated.jp,GET,HTTP/1.1,/,,2022-04-29T19:00:54Z,[],703a4880ab048a6f,bic,,1,bic,Mozilla/1.0
block,SAKURA-A SAKURA Internet Inc.,7684,JP,133.242.95.29,www.pfizer-covid19-vaccinated.jp,GET,HTTP/1.1,/home-japan,,2022-04-29T19:03:54Z,[],703a4ce3bc7a1f99,bic,,1,bic,Mozilla/1.0
block,MICROSOFT-CORP-MSN-AS-BLOCK,8075,SE,51.12.216.97,www.pfizer-covid19-vaccinated.jp,GET,HTTP/1.1,/.env,,2022-04-30T00:21:11Z,"[{'key': 'group', 'value': 'cloudflare_specials'}, {'key': 'rule_message', 'value': 'Version Control - Information Disclosure'}]",703c1daa5cda95e5,100016,,1,waf,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:77.0) Gecko/20100101 Firefox/77.0
block,MICROSOFT-CORP-MSN-AS-BLOCK,8075,SE,51.12.216.97,www.pfizer-covid19-vaccinated.jp,GET,HTTP/1.1,/.env,,2022-04-30T03:57:28Z,"[{'key': 'group', 'value': 'cloudflare_specials'}, {'key': 'rule_message', 'value': 'Version Control - Information Disclosure'}]",703d5a7c1b5b15e4,100016,,1,waf,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:77.0) Gecko/20100101 Firefox/77.0
block,MICROSOFT-CORP-MSN-AS-BLOCK,8075,AU,20.213.55.146,www.pfizer-covid19-vaccinated.jp,GET,HTTP/1.1,/.env,,2022-04-30T05:19:37Z,"[{'key': 'group', 'value': 'cloudflare_specials'}, {'key': 'rule_message', 'value': 'Version Control - Information Disclosure'}]",703dd2d5fdbfa937,100016,,1,waf,python-requests/2.27.1
block,MICROSOFT-CORP-MSN-AS-BLOCK,8075,SE,51.12.216.97,www.pfizer-covid19-vaccinated.jp,GET,HTTP/1.1,/.env,,2022-04-30T15:11:53Z,"[{'key': 'group', 'value': 'cloudflare_specials'}, {'key': 'rule_message', 'value': 'Version Control - Information Disclosure'}]",704136691ef295f1,100016,,1,waf,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:77.0) Gecko/20100101 Firefox/77.0
block,AMAZON-02,16509,SG,54.169.39.220,www.pfizer-covid19-vaccinated.jp,GET,HTTP/1.1,/phpinfo.php,,2022-04-30T17:47:51Z,"[{'key': 'group', 'value': 'cloudflare_specials'}, {'key': 'rule_message', 'value': 'Information Disclosure - Common Files'}]",70421ae0aecd4822,100038,,1,waf,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:77.0) Gecko/20100101 Firefox/77.0
block,SAKURA-A SAKURA Internet Inc.,7684,JP,133.242.245.148,www.pfizer-covid19-vaccinated.jp,GET,HTTP/1.1,/,,2022-04-30T19:01:02Z,[],7042860fdbbc80db,bic,,1,bic,Mozilla/1.0
block,SAKURA-A SAKURA Internet Inc.,7684,JP,133.242.95.29,www.pfizer-covid19-vaccinated.jp,GET,HTTP/1.1,/home-japan,,2022-04-30T19:03:50Z,[],70428a2eff3680bf,bic,,1,bic,Mozilla/1.0
block,DIGITALOCEAN-ASN,14061,US,198.199.83.54,www.pfizer-covid19-vaccinated.jp,GET,HTTP/1.1,/.env,,2022-04-30T20:54:15Z,"[{'key': 'group', 'value': 'cloudflare_specials'}, {'key': 'rule_message', 'value': 'Version Control - Information Disclosure'}]",70432beb8dbc8cb9,100016,,1,waf,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:77.0) Gecko/20100101 Firefox/77.0
block,DIGITALOCEAN-ASN,14061,US,198.199.83.54,www.pfizer-covid19-vaccinated.jp,GET,HTTP/1.1,/phpinfo.php,,2022-04-30T20:54:16Z,"[{'key': 'group', 'value': 'cloudflare_specials'}, {'key': 'rule_message', 'value': 'Information Disclosure - Common Files'}]",70432bf14d2d8c0b,100038,,1,waf,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:77.0) Gecko/20100101 Firefox/77.0
block,MICROSOFT-CORP-MSN-AS-BLOCK,8075,SE,51.12.216.97,www.pfizer-covid19-vaccinated.jp,GET,HTTP/1.1,/.env,,2022-05-01T09:09:55Z,"[{'key': 'group', 'value': 'cloudflare_specials'}, {'key': 'rule_message', 'value': 'Version Control - Information Disclosure'}]",704761901d040d4e,100016,,1,waf,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:77.0) Gecko/20100101 Firefox/77.0
